Closets,adminPrice,area,areac,bathrooms,city,commonNeighborhood,companyName,coordinates,garages,link,neighborhood,propertyId,propertyState,propertyType,rooms,salePrice,stratum,zone,First Extraction Date,Last Extraction Date,builtTime_min_year,builtTime_max_year
32000000000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '5'}","{'lon': -75.46016, 'lat': 6.38468}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-5-banos-4-garajes/22723-M6640043,Entre 10 y 20 años,6927.0,2026-07-19,,,,,,,,,12374.0,12374.0,,
8770400000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '4'}","{'lon': -75.44557, 'lat': 6.37742}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-4-banos-4-garajes/22723-M6642110,Entre 0 y 5 años,2308.0,2026-07-19,,,,,,,,,2308.0,2308.0,,
2843500000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '4'}","{'lon': -75.44568, 'lat': 6.37732}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-4-banos-3-garajes/22723-M6640425,Entre 10 y 20 años,517.0,2026-07-19,,,,,,,,,580.0,580.0,,
9500000000,"{'id': '4448', 'nombre': 'Girardota'}",102.0,,GIRARDOTA,,"{'lon': -75.41722, 'lat': 6.3999596}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota/687-M6758927,Más de 20 años,2400.0,2026-07-19,,,,,,,,,12000.0,12000.0,,
3500000000,"{'id': '4438', 'nombre': 'Copacabana'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '2'}","{'lon': -75.50915, 'lat': 6.35213}",https://www.metrocuadrado.com/inmueble/venta-bodega-copacabana-girardota-2-banos/4334-M6495658,Más de 20 años,650.0,2026-07-19,,,,,,,,,650.0,650.0,,
900000000,"{'id': '4448', 'nombre': 'Girardota'}",,CENTRO,Girardota,"{'id': '', 'nombre': '0'}","{'lon': -75.445564, 'lat': 6.3774242}",https://www.metrocuadrado.com/inmueble/venta-local-comercial-girardota-centro/17166-M5862704,Entre 10 y 20 años,161.54,2026-07-19,,,,,,,,,161.54,161.54,,
11000000000,"{'id': '4448', 'nombre': 'Girardota'}",102.0,,"{'id': '8', 'nombre': 'Bodega'}",,"{'lon': -75.48048, 'lat': 6.3798995}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota/20635-M6194676,Entre 0 y 5 años,2233.0,2026-07-19,,,,,,,,,2087.0,2087.0,,
1422400000,"{'id': '4448', 'nombre': 'Girardota'}",,VEREDA LA MATA GIRARDOTA,Vereda La Mata Girardota,"{'id': '', 'nombre': '3'}","{'lon': -75.45155, 'lat': 6.38702}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-vereda-la-mata-girardota-3-banos/14785-M6375231,Entre 10 y 20 años,254.0,2026-07-19,,,,,,,,,254.0,254.0,,
3360500000,"{'id': '4448', 'nombre': 'Girardota'}",,VEREDA LA MATA GIRARDOTA,Vereda La Mata Girardota,"{'id': '', 'nombre': '2'}","{'lon': -73.8125, 'lat': 4.89999}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-vereda-la-mata-girardota-2-banos/17287-M6708780,Entre 10 y 20 años,517.0,2026-07-19,,,,,,,,,517.0,517.0,,
4037000000,"{'id': '4448', 'nombre': 'Girardota'}",,VEREDA LA MATA GIRARDOTA,Vereda La Mata Girardota,"{'id': '', 'nombre': '4'}","{'lon': -75.45155, 'lat': 6.38702}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-vereda-la-mata-girardota-4-banos/14785-M6340037,Entre 10 y 20 años,734.0,2026-07-19,,,,,,,,,734.0,734.0,,
10425000000,"{'id': '4448', 'nombre': 'Girardota'}",,NA,Otros,,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-na-4-garajes/20033-M5773860,Entre 5 y 10 años,2233.0,2026-07-19,,,,,,,,,2233.0,2233.0,,
3550000000,"{'id': '4448', 'nombre': 'Girardota'}",,NA,Variante,"{'id': '', 'nombre': '5'}","{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-na-5-banos/11614-M5987585,Entre 0 y 5 años,745.0,2026-07-19,,,,,,,,,745.0,745.0,,
6050000000,"{'id': '4448', 'nombre': 'Girardota'}",,VARIANTE,Variante,"{'id': '', 'nombre': '5'}","{'lon': -75.44035, 'lat': 6.41713}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-variante-5-banos-4-garajes/11614-M5434308,Entre 0 y 5 años,1250.0,2026-07-19,,,,,,,,,1250.0,1250.0,,
2895000000,"{'id': '4448', 'nombre': 'Girardota'}",,VARIANTE,Variante,"{'id': '', 'nombre': '5'}","{'lon': -75.460335, 'lat': 6.3851156}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-variante-5-banos/11614-M5809265,Entre 0 y 5 años,520.0,2026-07-19,,,,,,,,,520.0,520.0,,
2450000000,"{'id': '4448', 'nombre': 'Girardota'}",,NA,Variante,"{'id': '', 'nombre': '5'}","{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-na-5-banos-4-garajes/11614-M5771846,Entre 0 y 5 años,430.0,2026-07-19,,,,,,,,,430.0,430.0,,
7900000000,"{'id': '4448', 'nombre': 'Girardota'}",,NA,Autopista Bello Hatillo,"{'id': '', 'nombre': '5'}","{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-na-5-banos-4-garajes/14894-M6861913,Entre 5 y 10 años,1765.0,2026-07-19,,,,,,,,,1765.0,1765.0,,
3800000000,"{'id': '4448', 'nombre': 'Girardota'}",,NA,Autopista Bello Hatillo,"{'id': '', 'nombre': '2'}","{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-na-2-banos-4-garajes/14894-M5813594,Entre 10 y 20 años,756.0,2026-07-19,,,,,,,,,842.0,842.0,,
